head_key	phrase	count	pages	proper	example
angl	gentis anglorum	3	3	False	gentis Anglorum
angl	gestis regum anglorum	4	4	False	gestis regum Anglorum
angl	regum anglorum	5	5	False	regum Anglorum
angl	rex anglorum	3	2	False	rex Anglorum
angli	regis angliae	7	6	False	regis Angliae
anglican	lingua anglicana	3	3	False	lingua Anglicana
anglosaxonic	annales anglosaxonici	6	6	False	Annales AngloSaxonici
anglosaxonic	lingua anglosaxonica	3	3	False	lingua AngloSaxonica
ann	britanniam anno	4	4	False	Britanniam anno
ann	britannia anno	3	3	False	Britannia anno
ann	centum annis	3	3	False	centum annis
ann	decem annis	3	3	False	decem annis
ann	decem annos	3	3	False	decem annos
ann	finem anni	3	3	False	finem anni
ann	hujus anni	5	5	False	hujus anni
ann	multos annos	4	4	False	multos annos
ann	quarto anno	3	3	False	quarto anno
ann	quinquaginta annis	3	3	False	quinquaginta annis
ann	septem annos	4	4	False	septem annos
ann	sequente anno	3	3	False	sequente anno
annal	author annalium	3	3	False	author annalium
antiquissim	duobus antiquissimis	3	3	False	duobus antiquissimis
antiquitat	glastoniensis ecclesiae antiquitate	4	4	False	Glastoniensis ecclesiae antiquitate
antiquitat	libro de antiquitate	5	5	False	libro de antiquitate
antissiodorens	erricus antissiodorensis	5	5	True	Erricus Antissiodorensis
antissiodorens	robertus antissiodorensis	3	3	True	Robertus Antissiodorensis
antonin	marci antonini	3	3	True	Marci Antonini
apostol	ait apostolus	4	4	False	ait apostolus
apostol	omnium apostolorum	3	3	False	omnium apostolorum
apostol	petro apostolo	3	3	False	Petro apostolo
apostol	petri apostoli	3	3	False	Petri apostoli
apostol	philippus apostolus	3	3	False	Philippus apostolus
apostol	sanctis apostolis	4	4	False	sanctis apostolis
apostol	sancti timothei apostoli	3	3	False	sancti Timothei apostoli
apostolic	sedis apostolicae	3	3	False	sedis apostolicae
arbitr	liberum arbitrium	12	8	False	liberum arbitrium
arbitri	gratia et libero arbitrio	8	7	False	gratia et libero arbitrio
arbitri	libero arbitrio	18	15	False	libero arbitrio
arbitri	liberi arbitrii	8	8	False	liberi arbitrii
archiepiscop	cantuariensem archiepiscopum	3	3	False	Cantuariensem archiepiscopum
archiepiscop	eboracensium archiepiscoporum	3	2	False	Eboracensium archiepiscoporum
archiepiscop	londinensium archiepiscoporum	3	3	False	Londinensium archiepiscoporum
archiepiscopatu	legionensi archiepiscopatu	3	2	False	Legionensi archiepiscopatu
arelatens	concilio arelatensi	3	3	False	concilio Arelatensi
arelatens	hilarium arelatensem	3	3	True	Hilarium Arelatensem
arimathaeens	josepho arimathaeensi	4	3	True	Josepho Arimathaeensi
arimathi	joseph ab arimathia	14	12	False	Joseph ab Arimathia
armat	tribus millibus armatorum	3	2	False	tribus millibus armatorum
armoric	britannia armorica	6	6	True	Britannia Armorica
arthur	regis arthuri	5	5	False	regis Arthuri
arthur	rex arthurus	3	3	False	rex Arthurus
august	honorii augusti	3	3	True	Honorii Augusti
augustin	adversus augustinum	3	3	False	adversus Augustinum
augustin	beati augustini	3	3	False	beati Augustini
augustin	interfuit augustinus	3	2	False	interfuit Augustinus
augustin	majore historia vitae augustini	3	3	False	majore historia vitae Augustini
augustin	posterioris operis contra augustin	4	4	False	posterioris operis contra Augustin
augustin	sancti augustini	3	3	False	sancti Augustini
augustin	vitae augustini	5	5	False	vitae Augustini
augustin	vita augustini	3	3	False	vita Augustini
aure	legenda aurea	4	4	False	legenda aurea
aurel	marcum aurelium	3	3	True	Marcum Aurelium
aureli	marci aurelii	3	3	True	Marci Aurelii
aurelian	ambrosium aurelianum	4	3	True	Ambrosium Aurelianum
austral	parte australi	3	2	False	parte australi
author	eulogii author	4	4	False	eulogii author
author	inquit author	5	5	False	inquit author
avalloni	insula avalloniae	8	6	False	insula Avalloniae
balae	johannes balaeus	8	8	True	Johannes Balaeus
balbul	notkerus balbulus	3	3	True	Notkerus Balbulus
baldoc	radulphus de baldoc	4	4	False	Radulphus de Baldoc
baptizar	debere baptizari	3	3	False	debere baptizari
baroni	caesar baronius	11	11	True	Caesar Baronius
baroni	putavit baronius	3	3	False	putavit Baronius
basilic	scribit vigilantius in libro de basilica	3	3	False	scribit Vigilantius in libro de Basilica
bed	sicut beda	3	3	False	sicut Beda
belgic	chronico belgico	5	5	False	chronico Belgico
belgic	magno chronico belgico	4	4	False	magno chronico Belgico
benedict	ordinis benedict	3	3	False	ordinis Benedict
bergomens	jacobus philippus bergomensis	4	4	True	Jacobus Philippus Bergomensis
bergomens	philippus bergomensis	6	6	True	Philippus Bergomensis
bernic	regnum vero berniciorum	3	2	False	regnum vero Berniciorum
bertinian	gotcelinus bertinianus	4	4	False	Gotcelinus Bertinianus
beverlacens	alphredo beverlacensi	6	5	True	Alphredo Beverlacensi
